t,i,k,hs02_desc,section,section_name,v,share
2021,398,80232,"Nuts, edible: walnuts, fresh or dried, shelled",2,Vegetable products,48.69,9.004630808323381e-7
2021,398,80250,"Nuts, edible: pistachios, fresh or dried, whether or not shelled or peeled",2,Vegetable products,429.57,7.94438130279621e-6
2021,398,80290,"Nuts, edible: n.e.s. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",2,Vegetable products,7219.14,1.3350932522817756e-4
2021,398,80300,"Fruit, edible: bananas, (including plantains), fresh or dried",2,Vegetable products,1548.879,2.8644657140614313e-5
2021,398,80410,"Fruit, edible: dates, fresh or dried",2,Vegetable products,393.84000000000003,7.283597859006122e-6
2021,398,80420,"Fruit, edible: figs, fresh or dried",2,Vegetable products,0.466,8.618110405994446e-9
2021,398,80430,"Fruit, edible: pineapples, fresh or dried",2,Vegetable products,225.489,4.170148277547815e-6
2021,398,80440,"Fruit, edible: avocados, fresh or dried",2,Vegetable products,67.997,1.2575228611081638e-6
2021,398,80450,"Fruit, edible: guavas, mangoes and mangosteens, fresh or dried",2,Vegetable products,62.391,1.1538466230480675e-6
2021,398,80510,"Fruit, edible: oranges, fresh or dried",2,Vegetable products,672.4689999999999,1.2436506623623774e-5
2021,398,80520,"Fruit, edible: mandarins (including tangerines and satsumas), clementines, wilkings and similar citrus hybrids, fresh or dried",2,Vegetable products,514.454,9.514208950226322e-6
2021,398,80540,"Fruit, edible: grapefruit, fresh or dried",2,Vegetable products,65.69500000000001,1.2149501354545175e-6
2021,398,80550,"Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried",2,Vegetable products,143.685,2.657281531513545e-6
2021,398,80590,"Fruit, edible: citrus fruit n.e.s. in heading no. 0805, fresh or dried",2,Vegetable products,0.012,2.2192558985393423e-10
2021,398,80610,"Fruit, edible: grapes, fresh",2,Vegetable products,2341.4629999999997,4.3302546449680197e-5
2021,398,80620,"Fruit, edible: grapes, dried",2,Vegetable products,237.475,4.391814954213586e-6
2021,398,80711,"Fruit, edible: watermelons, fresh",2,Vegetable products,3480.347,6.436483840594754e-5
2021,398,80719,"Fruit, edible: melons, (other than watermelons), fresh",2,Vegetable products,19529.78,3.6117982885146396e-4
2021,398,80720,"Fruit, edible: papaws (papayas), fresh",2,Vegetable products,0.059,1.0911341501151766e-9
2021,398,80810,"Fruit, edible: apples, fresh",2,Vegetable products,2866.4109999999996,5.301082932823378e-5
2021,398,80820,"Fruit, edible: pears and quinces, fresh",2,Vegetable products,128.638,2.379005335635866e-6
2021,398,80910,"Fruit, edible: apricots, fresh",2,Vegetable products,236.952,4.3821426972557854e-6
2021,398,80920,"Fruit, edible: cherries, fresh",2,Vegetable products,434.18,8.02963771689843e-6
2021,398,80930,"Fruit, edible: peaches including nectarines, fresh",2,Vegetable products,173.827,3.2147216256283188e-6
2021,398,80940,"Fruit, edible: plums and sloes, fresh",2,Vegetable products,80.30199999999999,1.4850890597042187e-6
2021,398,81010,"Fruit, edible: strawberries, fresh",2,Vegetable products,1.628,3.0107905023517076e-8
2021,398,81020,"Fruit, edible: raspberries, blackberries, mulberries and loganberries, fresh",2,Vegetable products,0.639,1.1817537659721997e-8
2021,398,81030,"Fruit, edible: black, white or red currants and gooseberries, fresh",2,Vegetable products,1.132,2.0934980642887795e-8
